ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ERCC3,-0.7615447293723747,6.037602810528654,-3.419558063982231,0.0016252071133908176,0.30561116874473554,-1.150042277936664
OAS3,-0.9424078432083767,4.494573483254533,-3.403904315816997,0.0016963230330495419,0.3077983778437932,-1.186606821564606
PMP22,0.967290448995735,6.618467296682412,3.401054589260312,0.001709586830377958,0.3077983778437932,-1.1932553363349445
PCNT,0.7684069202079193,8.563717802220198,3.3821440670811294,0.0018001581791663199,0.3166118397734723,-1.237311489687598
IRS2,1.1154946639111927,5.360853713605276,3.383754854060654,0.0018333703792129687,0.3166118397734723,-1.2499084198969364
GPRASP1,0.7692842218727467,4.2552369111470645,3.3732969628959824,0.001885986200040804,0.3191843044949057,-1.273334123712142
LAS1L,-0.897956666806417,5.338770287164396,-3.351557036168989,0.001956466309583093,0.3229302342769699,-1.3083366725037484
MGME1,0.9134426890055156,4.909141784429318,3.3434753883163193,0.00199988886846533,0.3229302342769699,-1.3270538541337196
CSPP1,0.9187168344516206,5.002818357302521,3.3393138359855774,0.0020226072343038767,0.3229302342769699,-1.3366839890500488
SSH1,0.8671260236950458,6.163171535532146,3.3028317886112997,0.0022326217027262354,0.34986008978647043,-1.420868693343257
CAMLG,0.8423079674869429,5.970829118664369,3.276460375250312,0.0023972478353817654,0.3659693135974299,-1.4814528507611442
ATF3,1.9624745341873666,6.552353051792038,3.2726581457654675,0.002421919352571032,0.3659693135974299,-1.4901689212755667
CAMK2G,-0.7573894232385605,7.0846819278039606,-3.2599609250731034,0.002506076226537221,0.37204240401680644,-1.5192405456644886
IRF2BP2,0.752920616623082,6.181008781133301,3.24657395482261,0.002597823996399652,0.37901356306092854,-1.5498327722355958
FKBP5,0.7777866699764218,8.412941356329075,3.2300145171068264,0.00271575090947365,0.3895031219655259,-1.5875906919790568
C5orf30,1.0326148546021123,4.402276532581678,3.2418653146839027,0.003015937531490504,0.4183748096962729,-1.64891362100939
AMBRA1,-0.839251148703986,5.194498203327182,-3.1910114225633186,0.0030139966096301126,0.4183748096962729,-1.676150095024017
CHST12,0.9631878449630884,4.113174774037139,3.299428788845327,0.003190770924576121,0.43548876715746987,-1.6827635276948967
MARS,-0.5821178916412588,6.316539544169172,-3.159700028336739,0.0032757259219324424,0.43966966433026616,-1.7468582587432415
DDIT4,2.191457986029591,5.57752987097365,3.154036234957321,0.003325320080020921,0.43966966433026616,-1.759610978219186
KLF3,0.8800328589202051,5.406007106500611,3.131361164980957,0.003531107324344898,0.458334424398942,-1.8105504031281408
UBR7,-0.8903446860240902,4.553129852907092,-3.12417279271072,0.0035988306423641427,0.458334424398942,-1.8266599079083878
DHX16,0.9494245269589019,5.68278831605866,3.12101412619326,0.0036289773617028025,0.458334424398942,-1.8337326382098822
EFR3B,-0.9755946952488559,4.441475137914594,-3.123690883936962,0.003737197562418958,0.4613636051087745,-1.8457937838147367
LDLR,1.0405884048881813,5.640970930234635,3.1161403307889883,0.0038114136780667083,0.4613636051087745,-1.8597456504494052
IFRD1,1.078048233941228,6.948789290658483,3.100984301180079,0.00382579297176574,0.4613636051087745,-1.87849660287596
C9orf78,-0.7196676880800776,6.01107885993122,-3.096516996351127,0.0038710489201988878,0.4613636051087745,-1.888460085320253
THAP1,-0.8803800689871313,4.850051596019892,-3.085557501135798,0.003984232558625773,0.46825799876515684,-1.9128715113482104
USP2,0.6949434544917388,7.907039494443228,3.067580574820931,0.004176703313909408,0.4793829546253791,-1.9528156080876422
RHOT2,-0.8708696556632094,4.35029900297903,-3.069234686335109,0.004229208698663108,0.4793829546253791,-1.9599332221510797
NABP2,0.7385593785352427,5.151418002174759,3.0584390825457115,0.004277921035986766,0.4793829546253791,-1.9730805503448758
PERM1,0.8136653856253195,6.14510753765147,3.0517983523318546,0.004352900053055419,0.4793829546253791,-1.9877817145678023
HSPBAP1,0.9463481280301789,5.569467233822556,3.0509868816557018,0.00436214695180267,0.4793829546253791,-1.9895769762409237
SKIL,0.8081939829942009,6.502068749703221,3.0451729953328077,0.004428942944697824,0.48048352817991014,-2.0024319393625643
LMF2,-0.7710301988728556,4.5586089199833335,-3.0417450734756537,0.004542528431846835,0.48656804544668253,-2.020420040246395
RAPGEF3,-0.8514304612377614,4.650767903375952,-3.0410265040469664,0.0046300361698399265,0.48974207586481827,-2.032939358848278
ARRDC1,-0.6297133236536343,4.239473378329065,-3.0249272458927794,0.004912904009810317,0.49491659203589167,-2.065725489476279
PSIP1,-0.8698250512689265,4.93905775271064,-3.015930945647029,0.004779823704206321,0.49334136637289655,-2.066889474203701
PFKFB3,1.7068992066053514,7.358025572209052,3.015863256393002,0.00478066556872814,0.49334136637289655,-2.067038292141503
PDXK,0.9304902947694891,4.429803841639581,3.0101344580000666,0.0048524252625683035,0.4947135249620842,-2.0796267809341904
ZNF484,0.7695811232055947,4.338529244067767,3.0232317166201623,0.005027932255643786,0.49784226241144414,-2.0868673187386033
RHOB,1.224350989096128,5.440914583936691,2.9940319058160205,0.0050596117427776175,0.49784226241144414,-2.114941084169475
CHD7,-0.6527588181705886,5.926498206952113,-2.979559656869467,0.005252915189642405,0.5109214751121153,-2.146591838304821
TARS1,-0.697287724381269,6.713955763851864,-2.9724085079324314,0.005350981753807254,0.5145455409172385,-2.162200334001355
SNRPA,-0.7714329509093338,4.440385021177558,-2.9679034835441827,0.005413643880405181,0.514721960853805,-2.172022654834912
IMP3,0.6193288747981986,4.858849750655108,2.9618910921928503,0.005498349873108409,0.5169670736249262,-2.1851186882238713
E2F6,0.8396668824448046,4.769413286716596,2.956943227776789,0.0055689927953959,0.5178551322487924,-2.195884981549532
ERG28,-0.6760296733370135,4.220325488437756,-2.9456656349583805,0.005733214219504589,0.5273310731026939,-2.220387099003729
TBX3,0.8894614984703608,5.184947560608848,2.9357266306157834,0.005881710530901042,0.5319401470083797,-2.2419377039152173
S100A1,0.6405821769523268,5.8580347970263436,2.933922594777641,0.005909049139540024,0.5319401470083797,-2.2458450054269985
SLC9A3R2,0.7217378463971276,5.200154592692481,2.914362901523421,0.0062132297574404366,0.5379747915921956,-2.2881220823226505
ETV3,0.6875363295550416,5.231249432807073,2.9132422561511206,0.006231095493458681,0.5379747915921956,-2.2905394636381033
CDC16,-0.6909019501969187,4.701318466862833,-2.909492902476555,0.006291220473592919,0.5379747915921956,-2.2986234993053594
FURIN,0.8826576514492874,5.359169470970926,2.909058601084263,0.006298220076215198,0.5379747915921956,-2.299559522346119
SAYSD1,-0.6632767129812485,3.8804989058652213,-2.928210787825485,0.006629021729920535,0.5392012334775514,-2.3096888032864684
DUSP1,1.5870555775962947,6.5028481735720565,2.903634288488073,0.0063862616460254595,0.5379747915921956,-2.3112435423033717
KAT14,-0.8441368102354421,4.8610581263919705,-2.9022475342967162,0.006408954695572305,0.5379747915921956,-2.314228639475046
MYO9A,0.668376038875774,6.4123192779467315,2.9015064760017637,0.0064211124971415455,0.5379747915921956,-2.315823493830972
AFTPH,-0.7905797967624482,4.634190520882852,-2.897013692533079,0.006495285846232724,0.5388540081453069,-2.325487597783228
POFUT2,-0.7340160349603542,4.115057622902479,-2.8967270272150007,0.006690632180943382,0.5392012334775514,-2.332894101601502
FLNB,0.9061262292269952,6.8230718045833525,2.8897628794361423,0.0066166910862927265,0.5392012334775514,-2.3410663201221937
PROSER1,-0.7678528831885147,5.401144966038902,-2.8812049305559055,0.0067627212269901465,0.5398693115357606,-2.359424805876904
ADD3,-0.9375793501915393,5.166784538048792,-2.871235292887425,0.006936649817983761,0.5485787921474634,-2.3807722895885837
ZFP36L1,0.631342383047758,8.27513451555365,2.8666300005676746,0.007018400790908059,0.549904699006148,-2.3906190069812827
SGCE,0.8338842544143832,4.1592754859915395,2.887572048351323,0.007625195825225277,0.5645331376289126,-2.4039780380540696
KITLG,0.8716434713476495,4.9188877832578815,2.854664363211255,0.007235048563111357,0.5525007696792811,-2.4161604594831783
ZDHHC16,-0.9195475294806776,4.666397197946579,-2.8544477642456014,0.007239027370591613,0.5525007696792811,-2.4166222351289877
TNFSF10,-0.9829733962065594,4.841465655754108,-2.8539917809587156,0.007247410238052494,0.5525007696792811,-2.417594297064953
RNF181,-0.6089045665815016,5.081683596301296,-2.8500164781190094,0.00732087881840543,0.5531185407263103,-2.4260650062158926
RITA1,0.6895629209328322,3.9356597348571585,2.8475769544170038,0.007805527901510608,0.5645331376289126,-2.4426587884001187
LMTK2,0.8128521323674587,5.684543920629259,2.8337381569291344,0.00762905552456816,0.5645331376289126,-2.46067975307096
ANAPC11,0.6160444674633831,6.277216891737483,2.830615780246384,0.007689537588394816,0.5645331376289126,-2.467306053252991
MEGF9,-0.7441446628713235,4.925388546882753,-2.8271015476724104,0.007758146307430802,0.5645331376289126,-2.474758836418167
TMEM140,0.8665610114394653,5.4149532973266545,2.8126942680965414,0.008045447294392528,0.5769540254673693,-2.505256145656288
SIPA1L1,-0.904917532093187,4.479196868097991,-2.7990243386326092,0.008546436624723071,0.5897345238482196,-2.527109985983291
PARP16,0.7186482225238615,3.9020917384805776,2.7933072494643296,0.008790779915263103,0.5903090412276603,-2.5433816756656453
ARHGEF10,-0.8050983113939765,4.465037832577436,-2.7949447529242373,0.00851970442644977,0.5897345238482196,-2.550114291620055
RET,0.8021719249552062,4.839665620057357,2.793806475634243,0.008543975908898048,0.5897345238482196,-2.5524984624680456
ELP4,-0.5459582958737625,4.349852126548446,-2.7924899876551135,0.00857212791696183,0.5897345238482196,-2.5552551960886136
NLRX1,-0.744112703742525,4.6278389761863385,-2.7858688663644697,0.008715033321561911,0.5903090412276603,-2.5558925526400813
DNAJC11,-0.7926595695869061,5.8047807888491745,-2.788261690481644,0.008555494237316654,0.5897345238482196,-2.556764495375864
MTMR9,-0.8521752226630639,5.175535467611693,-2.7738933733610267,0.008869368558229096,0.5903090412276603,-2.586930654572067
UBIAD1,-0.8432482043329861,4.760036827192166,-2.7772896963493987,0.008903508829475933,0.5903090412276603,-2.587029571046879
RBMS1,-0.6640205215835229,5.264690736790876,-2.7712048307711754,0.008929278808454327,0.5903090412276603,-2.592564875763595
JDP2,0.77091761274135,4.09860924624187,2.7738767165852556,0.009656213825805391,0.6122329085238623,-2.6230196293181582
