TF,t
AHR,2.9875513344498783
AR,1.987728948490751
ARID2,-0.2753509407354242
ARID3A,2.2611608532014436
ARNT,1.0353465588695814
ARNTL,-2.0289936430757813
ASCL1,2.85722725489125
ATF1,1.8272362166160439
ATF2,0.32403588982394593
ATF3,-5.75728168946082
ATF4,3.0531987162938434
ATF6,1.626198242491948
ATF7,-0.5375960787653121
BACH1,2.023043258599348
BACH2,0.9802718028850869
BATF,2.870729177588214
BCL11A,2.190463270086572
BCL6,-3.230673110439883
BHLHE22,-0.6005187599460091
BHLHE40,-6.511612056152134
CEBPA,2.6157133693242365
CEBPB,2.583701552988651
CEBPG,0.18734060316848034
CLOCK,1.2581949089116478
CREB1,3.5215348420898285
CREB3,2.8905600672802376
CREB3L1,2.3937241453209404
CREM,2.3741649415795174
CTCF,1.5846431034366388
CTCFL,1.8633871336915304
CUX1,1.5423886861978076
DUX4,-1.5027515080065934
E2F1,1.560033532039682
E2F3,-0.19509223905602968
E2F4,1.4254099270128244
E2F5,0.2910242748199306
E2F6,-2.226661744997925
E2F7,1.9504339248277245
EBF1,0.4903001922327543
EGR1,1.8415395397475467
EHF,-1.1404296639907132
ELF1,2.1922471060891637
ELF3,-0.185126793199082
ELF5,-1.7587637954292623
ELK1,2.531690483450381
ELK4,2.5265648651454673
EOMES,0.1018244191475177
EPAS1,3.3331027543369713
ERG,0.5171429288601257
ESR1,1.7438717628451932
ESR2,1.467602508396233
ESRRA,1.4301222947773364
ETS1,5.00303031247366
ETS2,4.255781515313235
ETV1,-0.8672478960234724
ETV4,-1.5003361895298717
FLI1,1.838243714019839
FOS,3.31693482442155
FOXA1,0.027091296133704878
FOXJ2,-0.6248064125999787
FOXK2,2.5349814780689615
FOXL2,4.683826159747301
FOXM1,0.26428682277414584
FOXO1,0.7452872983471119
FOXO3,1.3002674009273723
FOXO4,2.191387544182788
FOXP1,-1.0494171761041968
FOXP2,-1.5657381651348738
GABPA,0.8479100826401198
GATA2,-0.6174740368896999
GATA3,0.06284572699973608
GATA4,2.194712500860156
GATA6,1.0205630478071153
GFI1B,0.18562782784242618
GLI2,-1.6182005367732515
GRHL2,1.5232326963493557
HBP1,-2.474700621683291
HIF1A,4.699198990034683
HINFP,1.8702194032448576
HMBOX1,-0.7062774565904238
HNF1B,1.4090828606877785
HNF4A,-0.018181669386544464
HNF4G,0.5805839272429492
HOXA9,0.025801344249862353
HOXB13,-1.4338470141093005
HSF1,1.0407856818951524
IKZF1,0.6784004914567313
IRF1,0.6792445315016196
IRF2,1.8656371360324406
IRF3,-0.6813696798737312
IRF4,2.661874918687686
IRF9,2.2182209359193332
JUN,4.094739726991525
JUNB,4.409003904142937
JUND,1.785905955860417
KDM5B,0.5255548080387726
KLF1,3.7424068059058793
KLF13,0.572203670275619
KLF3,0.10336507848100746
KLF5,0.8584070046826402
KLF6,5.22324239969285
KLF9,1.4320564994201035
LEF1,0.03483023695236022
LHX2,-1.5554332515123919
LYL1,1.5459509058134993
MAF,0.355191201731207
MAFB,2.328014039487036
MAFF,2.550651140666901
MAFG,1.0672110820354077
MAFK,1.4380449504190744
MAX,2.771764569524227
MAZ,0.7461977846495395
MBD1,-0.9706660120620342
MBD2,0.7653470139844376
MEF2A,2.210094713520877
MEF2B,1.054243775033637
MEF2C,-0.7597221455324783
MEIS1,-0.9234443849236975
MEIS2,-1.3231439346958478
MITF,3.6522867007491238
MNT,-3.8943094260478546
MXI1,-2.978569497841714
MYB,1.7747162653695305
MYBL2,0.5229820177281237
MYC,0.5046874451627996
MYCN,-1.1715009478465936
MYOD1,1.0445817293723145
NANOG,-0.01609384398302017
NCOA1,1.267286105887771
NCOA2,-0.11297648107994958
NCOA3,1.137072533995163
NEUROD1,2.0042281834622333
NFATC1,2.3413370984433794
NFE2,0.41921819155584505
NFE2L1,0.6008851501614805
NFE2L2,3.1779093255075175
NFIC,-1.307324482861436
NFKB1,6.020089389839124
NFKB2,-3.5207240663059447
NFYA,-0.9608125743571836
NFYB,-0.23760955370128917
NR1H2,2.338458222792322
NR1H3,-0.24184220325290917
NR2C2,-0.7062086598714208
NR2F1,-0.5801608644812087
NR2F6,-0.9758769171983838
NR3C1,-0.5642443061804518
NR4A1,1.3032207799286575
NR5A2,1.2436975291843606
NRF1,1.362032611994479
ONECUT1,0.5635396001360018
OTX2,2.1740181455824152
PAX5,2.4112829527729107
PAX6,1.6854019954283723
PBX2,1.44878908801159
PBX3,-0.45650230370546485
PDX1,-0.5395594722622775
PKNOX1,0.29851012682938183
POU2F1,1.5997222607753867
POU4F2,1.16711133000497
POU5F1,-0.3484659425068069
PPARA,0.822855027237227
PPARG,1.1342937035691545
PRDM1,2.3148740208388525
PRDM14,3.6645418294940444
PROX1,0.2743939847142769
RARA,2.9408405130984545
RBPJ,1.8376951239042851
REL,3.806731868504708
RELA,5.480442991433574
RELB,2.39085922810538
RFX1,-0.6986697484969572
RFX2,7.840046964473549e-4
RUNX1,1.6015367991995566
RUNX2,1.9891259030401507
RUNX3,-1.1449000788711698
SIX2,-2.1104952976041758
SIX5,-1.9239866625416475
SMAD1,-0.18852852310626134
SMAD3,3.0331646446407374
SMAD4,4.722494698258207
SMAD5,0.9506159485566589
SNAI2,-1.9764261070114872
SNAPC4,-1.104502171739803
SOX11,2.416958777280716
SOX13,-0.6875691921799003
SOX6,1.232991766726833
SP1,4.854484448556917
SP2,-1.2923048420586802
SP3,1.9152666045908198
SP4,0.36871555175255205
SPI1,2.687529708889216
SPIB,0.6903506691608341
SREBF1,0.2551750246801495
SREBF2,2.078309025134376
SRF,3.1587900324575786
STAT1,5.835609463774489
STAT2,2.3141922645626805
STAT3,6.689254995333933
STAT4,0.9146401667265552
STAT5A,3.714983078025455
STAT5B,2.3077086297485034
TAL1,-1.5271556559955188
TBP,2.5650204570909807
TBX21,1.169100269507315
TCF12,-0.39412069776979375
TCF3,0.05880545496368613
TCF4,-1.5840442226905118
TCF7,1.056830418725424
TCF7L2,1.1497723010585847
TEAD1,1.0362471359153045
TEAD2,0.8535282263998476
TEAD4,4.037156439528794
TFAP2A,2.289109267356401
TFAP4,2.0339914176514515
TFDP1,-0.5867640136432869
TGIF2,-2.5515792853889856
THAP1,0.44808800256424
THAP11,0.9505447699234714
TP53,1.1027522361938433
TP63,0.19335204309428558
TP73,0.6373258845747839
TWIST1,-0.08286615354178908
USF1,3.7713988786336423
USF2,4.035474843599243
VDR,0.6530768204812006
WT1,1.7652062678495788
XBP1,-0.1588787200408009
YY1,-0.24970323158305047
ZBED1,2.0519316755171926
ZBTB11,0.4653059501641081
ZBTB33,0.9165053366627217
ZBTB7A,-2.508162375086338
ZEB1,0.11586568936869333
ZEB2,-0.13182007253470854
ZFX,1.5298183804868728
ZKSCAN1,-0.005249947829734153
ZNF143,1.086415284364462
ZNF217,4.611365803760204
ZNF24,-0.28592786632077294
ZNF263,-2.2475434300671497
ZNF274,-1.4380564899118988
