TF,t
MXI1,-2.537175982461931
MYB,0.4105309609431093
MYBL2,1.2013736455209156
MYC,1.4258455296286514
MYCN,1.7320842171034885
MYOD1,1.4416562780991196
NANOG,-0.32455751724591586
NCOA1,0.5556905275356356
NCOA2,-0.29059009938088703
NCOA3,0.16773475128949047
NEUROD1,1.548859619880273
NFATC1,2.436349738226883
NFE2,0.6871637130252993
NFE2L1,0.2710772117335764
NFE2L2,2.650256050330726
NFIC,-1.3779321580074928
NFKB1,5.371089665271623
NFKB2,-2.983971553420161
NFYA,-0.01684370708222173
NFYB,0.15568177616763332
NR1H2,3.426422190650046
NR1H3,1.1749040736852927
NR2C2,-1.0728816787484086
NR2F1,-0.9977092769955139
NR2F6,-0.29337674890983984
NR3C1,-1.1281111059403948
NR4A1,0.460841238652008
NR5A2,-0.3526867626500409
NRF1,0.7476192341003909
ONECUT1,0.6347058675177785
OTX2,-0.5005164390187543
PAX5,1.492329382337185
PAX6,0.7634782888610854
PBX2,0.6691663525813957
PBX3,-1.3701906436884932
PDX1,-0.3772736371483387
PKNOX1,0.0219570342926275
POU2F1,1.3226666325188632
POU4F2,-0.5259504615074488
POU5F1,-1.032743345140741
PPARA,-0.9258770469973505
PPARG,1.0179503176419562
PRDM1,1.6753096467298212
PRDM14,3.0429818277503657
PROX1,1.4340760771299486
RARA,3.432177419538618
RBPJ,2.0630073439965533
REL,2.8185645288949006
RELA,5.132352350448634
RELB,1.4957163320268612
RFX1,-1.0997694977884458
RFX2,-1.5487117818645533
RUNX1,1.3953250812988736
RUNX2,1.9647801488564398
RUNX3,-1.9167625721178465
SIX2,-1.7521307926222354
SIX5,-1.4513262482083498
SMAD1,-0.10971432420007698
SMAD3,2.389218329943182
SMAD4,3.9187651211949666
SMAD5,-0.08208594303386843
SNAI2,-2.531056660755293
SNAPC4,-0.16194635468415672
SOX11,1.6153238884358656
SOX13,0.16268115622138077
SOX6,0.3366296324964441
SP1,4.277150063648902
SP2,-1.0280201827877982
SP3,-0.24446029406540978
SP4,-0.444452474462156
SPI1,3.307011737725113
SPIB,1.1727873800758122
SREBF1,0.7242756224749535
SREBF2,1.394476732597373
SRF,2.385197049888602
STAT1,4.750518925671621
STAT2,1.5393128227600228
STAT3,5.26796177245574
STAT4,0.3905028241984502
STAT5A,1.5306604717280243
STAT5B,0.9866398615353339
TAL1,-0.5329544598223703
TBP,2.5485086739923997
TBX21,0.5418117587499482
TCF12,-0.08773454732756147
TCF3,-0.9097492693109943
TCF4,-2.127681812909397
TCF7,1.2735284135392408
TCF7L2,0.7217948291674151
TEAD1,-1.4374882439432441
TEAD2,-0.6864637953517275
TEAD4,1.558795139537377
TFAP2A,1.517406244911342
TFAP4,0.4354675891567384
TFDP1,0.45147159957377936
TGIF2,-2.276522376626451
THAP1,0.859210190416805
THAP11,0.8574640249490979
TP53,0.10238579547152431
TP63,-0.05877178259176161
TP73,0.5374028518898275
TWIST1,1.3676120887573404
USF1,2.4372897443838646
USF2,2.853568697062533
VDR,0.32240914133835896
WT1,1.4743077895620478
XBP1,-0.936352573425608
YY1,0.00396482542232883
ZBED1,1.8236145959639538
ZBTB11,2.693600456393726
ZBTB33,1.3764397527291041
ZBTB7A,-2.1207240984642475
ZEB1,0.28448685055422107
ZEB2,1.5404002037920947
ZFX,1.565281418722096
ZKSCAN1,0.6904639403279291
ZNF143,0.23114924092809527
ZNF217,3.085809746145933
ZNF24,-1.3020958482867249
ZNF263,-1.788414035239824
ZNF274,-1.4342764757015336
ZNF384,0.7748763549587597
ZNF592,0.7387234417514219
ZNF639,-1.306839051623215
ZNF740,-0.34414318861805687
